hh1,hh2,willingness_link1,willingness_link2,asymmetric_bilateral1,asymmetric_bilateral2,asymmetric_unilateral1,asymmetric_unilateral2,kinship1,kinship2,excess_wealth1,excess_wealth2,same_edu1,same_edu2,members1,members2,o_members1,o_members2,neighbors1,neighbors2,popularity1,popularity2,const1,const2
92,28,0,0,0,0,1,1,0,0,.0825021266937256,-.0825021266937256,1,1,1,2,2,1,0,0,.800000011920929,.5,1,2
114,28,0,1,0,0,1,1,0,0,-6.18167591094971,6.18167591094971,1,1,2,2,2,2,0,0,.800000011920929,1,1,2
30,28,0,0,0,0,1,1,0,0,-.273261547088623,.273261547088623,1,1,1,2,2,1,0,0,.800000011920929,.400000005960464,1,2
34,28,0,0,0,0,1,1,0,0,1.00514888763428,-1.00514888763428,1,1,2,2,2,2,0,0,.800000011920929,.899999976158142,1,2
101,28,0,0,0,0,1,1,0,0,-.409485816955566,.409485816955566,1,1,2,2,2,2,1,1,.800000011920929,.699999988079071,1,2
107,28,0,0,0,0,1,1,0,0,-1.97532081604004,1.97532081604004,1,1,3,2,2,3,1,1,.800000011920929,0,1,2
108,28,0,0,0,0,1,1,0,0,-3.81596851348877,3.81596851348877,0,0,2,2,2,2,1,1,.800000011920929,2,1,2
8,28,0,0,0,0,1,1,0,0,-.355141878128052,.355141878128052,1,1,2,2,2,2,1,1,.800000011920929,.5,1,2
76,28,0,0,0,0,1,1,0,0,-3.52634859085083,3.52634859085083,1,1,3,2,2,3,0,0,.800000011920929,.600000023841858,1,2
115,28,0,0,0,0,1,1,0,0,1.29717826843262,-1.29717826843262,1,1,1,2,2,1,1,1,.800000011920929,.200000002980232,1,2
49,28,0,0,0,0,1,1,0,0,-.200086355209351,.200086355209351,0,0,2,2,2,2,1,1,.800000011920929,.5,1,2
54,28,0,0,0,0,1,1,1,1,.941442847251892,-.941442847251892,1,1,2,2,2,2,1,1,.800000011920929,1.79999995231628,1,2
102,28,0,0,0,0,1,1,0,0,.964001774787903,-.964001774787903,1,1,3,2,2,3,1,1,.800000011920929,.400000005960464,1,2
25,28,0,0,0,0,1,1,0,0,1.55350196361542,-1.55350196361542,1,1,2,2,2,2,1,1,.800000011920929,.300000011920929,1,2
94,28,0,0,0,0,1,1,0,0,-5.68661499023438,5.68661499023438,1,1,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
40,28,0,0,0,0,1,1,0,0,1.30056059360504,-1.30056059360504,0,0,4,2,2,4,1,1,.800000011920929,.5,1,2
22,28,0,0,0,0,1,1,0,0,-2.69812679290771,2.69812679290771,1,1,4,2,2,4,1,1,.800000011920929,.600000023841858,1,2
24,28,0,0,0,0,1,1,0,0,-2.78541946411133,2.78541946411133,1,1,2,2,2,2,1,1,.800000011920929,.300000011920929,1,2
60,28,0,0,0,0,1,1,0,0,.786982297897339,-.786982297897339,0,0,2,2,2,2,1,1,.800000011920929,.400000005960464,1,2
43,28,0,0,0,0,1,1,0,0,-3.79776382446289,3.79776382446289,1,1,3,2,2,3,1,1,.800000011920929,.300000011920929,1,2
79,28,1,1,1,1,0,0,0,0,2.03967833518982,-2.03967833518982,0,0,1,2,2,1,0,0,.699999988079071,.100000001490116,1,2
74,28,0,0,0,0,1,1,0,0,-.521997451782227,.521997451782227,1,1,4,2,2,4,0,0,.800000011920929,1.29999995231628,1,2
3,28,0,0,0,0,1,1,0,0,1.28144299983978,-1.28144299983978,1,1,3,2,2,3,1,1,.800000011920929,.400000005960464,1,2
119,28,0,0,0,0,1,1,0,0,2.81967830657959,-2.81967830657959,0,0,1,2,2,1,1,1,.800000011920929,0,1,2
38,28,0,0,0,0,1,1,0,0,-2.64785194396973,2.64785194396973,1,1,5,2,2,5,0,0,.800000011920929,.600000023841858,1,2
86,28,0,0,0,0,1,1,0,0,-2.81583070755005,2.81583070755005,0,0,5,2,2,5,0,0,.800000011920929,.899999976158142,1,2
48,28,0,0,0,0,1,1,0,0,-.192556619644165,.192556619644165,0,0,5,2,2,5,1,1,.800000011920929,.5,1,2
84,28,0,0,0,0,1,1,0,0,1.34279000759125,-1.34279000759125,0,0,1,2,2,1,0,0,.800000011920929,0,1,2
106,28,0,0,0,0,1,1,0,0,-7.46443843841553,7.46443843841553,1,1,4,2,2,4,0,0,.800000011920929,.300000011920929,1,2
112,28,0,0,0,0,1,1,0,0,-11.2815008163452,11.2815008163452,1,1,4,2,2,4,1,1,.800000011920929,1,1,2
32,28,0,0,0,0,1,1,0,0,-6.32455635070801,6.32455635070801,1,1,3,2,2,3,0,0,.800000011920929,.300000011920929,1,2
98,28,0,0,0,0,1,1,0,0,1.2290313243866,-1.2290313243866,0,0,2,2,2,2,0,0,.800000011920929,.200000002980232,1,2
72,28,0,0,0,0,1,1,0,0,.0502519607543945,-.0502519607543945,1,1,3,2,2,3,0,0,.800000011920929,1.20000004768372,1,2
47,28,0,0,0,0,1,1,0,0,-1.4477915763855,1.4477915763855,1,1,1,2,2,1,0,0,.800000011920929,.100000001490116,1,2
18,28,0,0,0,0,1,1,0,0,-.559953689575195,.559953689575195,1,1,2,2,2,2,1,1,.800000011920929,.800000011920929,1,2
63,28,0,0,0,0,1,1,0,0,-1.50811576843262,1.50811576843262,0,0,1,2,2,1,0,0,.800000011920929,.200000002980232,1,2
12,28,0,0,0,0,1,1,0,0,1.52488422393799,-1.52488422393799,0,0,2,2,2,2,1,1,.800000011920929,.400000005960464,1,2
75,28,0,0,0,0,1,1,0,0,-.546440601348877,.546440601348877,1,1,2,2,2,2,0,0,.800000011920929,.5,1,2
10,28,0,0,0,0,1,1,0,0,-25.1499099731445,25.1499099731445,1,1,4,2,2,4,1,1,.800000011920929,1.60000002384186,1,2
19,28,0,0,0,0,1,1,0,0,-.35802698135376,.35802698135376,1,1,2,2,2,2,1,1,.800000011920929,.699999988079071,1,2
58,28,1,1,1,1,0,0,1,1,-.48649787902832,.48649787902832,1,1,7,2,2,7,1,1,.699999988079071,2.09999990463257,1,2
73,28,0,0,0,0,1,1,0,0,-1.30483293533325,1.30483293533325,1,1,2,2,2,2,0,0,.800000011920929,.400000005960464,1,2
55,28,0,0,0,0,1,1,0,0,1.45950186252594,-1.45950186252594,1,1,2,2,2,2,1,1,.800000011920929,.300000011920929,1,2
45,28,0,0,0,0,1,1,0,0,1.40826654434204,-1.40826654434204,0,0,1,2,2,1,1,1,.800000011920929,.899999976158142,1,2
110,28,0,0,0,0,1,1,0,0,.433795928955078,-.433795928955078,1,1,2,2,2,2,1,1,.800000011920929,0,1,2
93,28,0,0,0,0,1,1,0,0,-5.55855560302734,5.55855560302734,1,1,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
33,28,1,0,1,1,0,0,0,0,-1.26892185211182,1.26892185211182,1,1,2,2,2,2,0,0,.699999988079071,.600000023841858,1,2
117,28,0,0,0,0,1,1,0,0,2.81967830657959,-2.81967830657959,1,1,1,2,2,1,1,1,.800000011920929,0,1,2
68,28,0,0,0,0,1,1,0,0,-.168792247772217,.168792247772217,0,0,1,2,2,1,0,0,.800000011920929,.100000001490116,1,2
